j,mu_j,k_dom,gamma_dom,localization
1,4.21980345,1,14.134725,0.985156
2,2.56569427,3,25.010858,0.741107
3,1.74464906,2,21.022040,0.744517
4,0.98649196,4,30.424876,0.854078
5,0.31419945,5,32.935062,0.794218
6,0.21790036,6,37.586178,0.885160
7,0.08443783,7,40.918719,0.821022
8,0.04825809,8,43.327073,0.840458
9,0.01705578,9,48.005151,0.828157
10,0.00653011,10,49.773832,0.922008
11,0.00283221,11,52.970321,0.826007
12,0.00101204,13,59.347044,0.790838
13,0.00043064,12,56.446248,0.727905
14,0.00004657,15,65.112544,0.848857
15,0.00001603,16,67.079811,0.449684
16,0.00000494,16,67.079811,0.763307
