k,gamma
1,14.134725141734695
2,21.022039638771556
3,25.010857580145689
4,30.424876125859512
5,32.935061587739192
6,37.586178158825675
7,40.918719012147498
8,43.327073280915002
9,48.005150881167161
10,49.7738324776723
11,52.970321477714464
12,56.446247697063392
13,59.347044002602352
14,60.83177852460981
15,65.112544048081602
16,67.079810529494168
17,69.546401711173985
18,72.067157674481905
19,75.704690699083926
20,77.144840068874799
21,79.337375020249368
22,82.910380854086029
23,84.735492980517051
24,87.425274613125225
25,88.809111207634459
26,92.491899270558491
27,94.651344040519888
28,95.870634228245308
29,98.831194218193687
30,101.31785100573138
31,103.72553804047834
32,105.44662305232609
33,107.1686111842764
34,111.02953554316967
35,111.87465917699264
36,114.32022091545271
37,116.22668032085755
38,118.79078286597621
39,121.37012500242065
40,122.94682929355258
41,124.25681855434577
42,127.5166838795965
43,129.57870419995606
44,131.08768853093267
45,133.4977372029976
46,134.75650975337388
47,138.11604205453344
48,139.73620895212139
49,141.12370740402113
50,143.11184580762063
51,146.00098248676551
52,147.42276534255961
53,150.05352042078488
54,150.92525761224147
55,153.02469381119889
56,156.11290929423788
57,157.59759181759406
58,158.84998817142051
59,161.18896413759603
60,163.030709687182
61,165.53706918790041
62,167.18443997817451
63,169.09451541556882
64,169.91197647941169
65,173.41153651959155
66,174.75419152336573
67,176.44143429771043
68,178.37740777609997
69,179.916484020257
70,182.20707848436646
71,184.8744678483875
72,185.59878367770747
73,187.22892258350186
74,189.41615865601693
75,192.02665636071379
76,193.0797266038457
77,195.26539667952923
78,196.87648184095832
79,198.01530967625192
80,201.2647519437038
81,202.49359451414054
82,204.18967180310455
83,205.39469720216329
84,207.90625888780622
85,209.57650971685626
86,211.6908625953653
87,213.34791935971268
88,214.54704478349143
89,216.16953850826371
90,219.06759634902139
91,220.71491883931401
92,221.43070555469333
93,224.00700025460432
94,224.98332466958229
95,227.42144427967929
96,229.33741330552536
97,231.25018870049917
98,231.98723525318024
99,233.69340417890831
100,236.52422966581619
