k,gamma_k
1,14.1347251417
2,21.0220396388
3,25.0108575801
4,30.4248761259
5,32.9350615877
6,37.5861781588
7,40.9187190121
8,43.3270732809
9,48.0051508812
10,49.7738324777
11,52.9703214777
12,56.4462476971
13,59.3470440026
14,60.8317785246
15,65.1125440481
16,67.0798105295
17,69.5464017112
18,72.0671576745
19,75.7046906991
20,77.1448400689
21,79.3373750202
22,82.9103808541
23,84.7354929805
24,87.4252746131
25,88.8091112076
26,92.4918992706
27,94.6513440405
28,95.8706342282
29,98.8311942182
30,101.3178510057
31,103.7255380405
32,105.4466230523
33,107.1686111843
34,111.0295355432
35,111.8746591770
36,114.3202209155
37,116.2266803209
38,118.7907828660
39,121.3701250024
40,122.9468292936
41,124.2568185543
42,127.5166838796
43,129.5787042000
44,131.0876885309
45,133.4977372030
46,134.7565097534
47,138.1160420545
48,139.7362089521
49,141.1237074040
50,143.1118458076
51,146.0009824868
52,147.4227653426
53,150.0535204208
54,150.9252576122
55,153.0246938112
56,156.1129092942
57,157.5975918176
58,158.8499881714
59,161.1889641376
60,163.0307096872
61,165.5370691879
62,167.1844399782
63,169.0945154156
64,169.9119764794
65,173.4115365196
66,174.7541915234
67,176.4414342977
68,178.3774077761
69,179.9164840203
70,182.2070784844
71,184.8744678484
72,185.5987836777
73,187.2289225835
74,189.4161586560
75,192.0266563607
76,193.0797266038
77,195.2653966795
78,196.8764818410
79,198.0153096763
80,201.2647519437
81,202.4935945141
82,204.1896718031
83,205.3946972022
84,207.9062588878
85,209.5765097169
86,211.6908625954
87,213.3479193597
88,214.5470447835
89,216.1695385083
90,219.0675963490
91,220.7149188393
92,221.4307055547
93,224.0070002546
94,224.9833246696
95,227.4214442797
96,229.3374133055
97,231.2501887005
98,231.9872352532
99,233.6934041789
100,236.5242296658
101,237.7698204809
102,239.5554775733
103,241.0491577962
104,242.8232719342
105,244.0708984971
106,247.1369900749
107,248.1019900601
108,249.5736896447
109,251.0149477950
110,253.0699867480
111,255.3062564549
112,256.3807136944
113,258.6104394915
114,259.8744069897
115,260.8050845046
116,263.5738939049
117,265.5578518389
118,266.6149737815
119,267.9219150828
120,269.9704490240
121,271.4940556416
122,273.4596091884
123,275.5874926493
124,276.4520495031
125,278.2507435298
126,279.2292509277
127,282.4651147651
128,283.2111857332
129,284.8359639809
130,286.6674453630
131,287.9119205014
132,289.5798549292
133,291.8462913291
134,293.5584341394
135,294.9653696193
136,295.5732548790
137,297.9792770619
138,299.8403260537
139,301.6493254622
140,302.6967495896
141,304.8643713409
142,305.7289126020
143,307.2194961282
144,310.1094631467
145,311.1651415304
146,312.4278011806
147,313.9852857312
148,315.4756160895
149,317.7348059424
150,318.8531042563
151,321.1601343091
152,322.1445586725
153,323.4669695575
154,324.8628660517
155,327.4439012619
156,329.0330716805
157,329.9532397282
158,331.4744675827
159,333.6453785249
160,334.2113548332
161,336.8418504284
162,338.3399928508
163,339.8582167254
164,341.0422611110
165,342.0548775104
166,344.6617029403
167,346.3478705660
168,347.2726775844
169,349.3162608707
170,350.4084193492
171,351.8786490254
172,353.4889004887
173,356.0175749773
174,357.1513022520
175,357.9526851016
176,359.7437549531
177,361.2893616958
178,363.3313305790
179,364.7360241141
180,366.2127102883
181,367.9935754817
182,368.9684380957
183,370.0509192121
184,373.0619283721
185,373.8648739109
186,375.8259127667
187,376.3240922307
188,378.4366802500
189,379.8729753465
190,381.4844686172
191,383.4435294495
192,384.9561168149
193,385.8613008460
194,387.2228902224
195,388.8461283542
196,391.4560835636
197,392.2450833395
198,393.4277438444
199,395.5828700110
200,396.3818542226
